linker,conformer_id,distance_A,Rg_A,energy_kcal_mol,mmff_status
Rigid alkynyl,87,9.60495430721755,3.2967464772206747,-0.12237369555160095,0
Rigid alkynyl,88,9.604953777778517,3.296746323936868,-0.12237371602438063,0
Rigid alkynyl,89,9.604954043150887,3.2967464010778578,-0.12237371998850585,0
Rigid alkynyl,90,9.604954008939604,3.2967463894822338,-0.12237369245462243,0
Rigid alkynyl,91,9.604952915201011,3.2967460927496486,-0.12237370989444667,0
Rigid alkynyl,92,9.604954221302803,3.2967464398314124,-0.12237371765079913,0
Rigid alkynyl,93,9.60495383283085,3.296746341069165,-0.12237371985539537,0
Rigid alkynyl,94,9.604953953089945,3.2967464211318336,-0.12237371117373055,0
Rigid alkynyl,95,9.604954106988032,3.2967464259185935,-0.1223737202251354,0
Rigid alkynyl,96,9.60495347902352,3.296746267716205,-0.1223737102918623,0
Rigid alkynyl,97,9.60495411459206,3.2967463987714813,-0.12237371598903801,0
Rigid alkynyl,98,9.604953919358765,3.2967463725509116,-0.12237371237634097,0
Rigid alkynyl,99,9.60495305422873,3.296746062423604,-0.12237371755903426,0
