alpha,P_total_nM,time_h,target_fraction,degradation_pct
10.0,0.5011872336272725,1.0,0.99486402133763,0.5135978662370033
10.0,0.5011872336272725,1.25,0.993580420257476,0.6419579742524051
10.0,0.5011872336272725,1.5,0.9922969773119431,0.7703022688056893
10.0,0.5011872336272725,1.75,0.9910136928532189,0.8986307146781058
10.0,0.5011872336272725,2.0,0.9897305672346206,1.0269432765379394
10.0,0.5011872336272725,2.25,0.9884476008106,1.1552399189399987
10.0,0.5011872336272725,2.5,0.9871647939367483,1.2835206063251725
10.0,0.5011872336272725,2.75,0.9858821469698005,1.4117853030199523
10.0,0.5011872336272725,3.0,0.9845996602676406,1.5400339732359436
10.0,0.5011872336272725,3.25,0.9833173341893059,1.6682665810694108
10.0,0.5011872336272725,3.5,0.9820351690949919,1.7964830905008111
10.0,0.5011872336272725,3.75,0.9807531653460574,1.9246834653942613
10.0,0.5011872336272725,4.0,0.9794713233050288,2.052867669497116
10.0,0.5011872336272725,4.25,0.9781896433356058,2.1810356664394237
10.0,0.5011872336272725,4.5,0.9769081258026648,2.309187419733516
10.0,0.5011872336272725,4.75,0.9756267710722658,2.437322892773419
10.0,0.5011872336272725,5.0,0.9743455795116556,2.565442048834443
10.0,0.5011872336272725,5.25,0.9730645514892734,2.69354485107266
10.0,0.5011872336272725,5.5,0.9717836873747562,2.8216312625243822
10.0,0.5011872336272725,5.75,0.9705029875389429,2.949701246105707
10.0,0.5011872336272725,6.0,0.9692224523538804,3.077754764611962
10.0,0.5011872336272725,6.25,0.9679420821928275,3.2057917807172487
10.0,0.5011872336272725,6.5,0.966661877430261,3.3338122569739004
10.0,0.5011872336272725,6.75,0.9653818384418799,3.461816155812014
10.0,0.5011872336272725,7.0,0.9641019656046115,3.5898034395388523
10.0,0.5011872336272725,7.25,0.9628222592966156,3.717774070338442
10.0,0.5011872336272725,7.5,0.9615427198972905,3.8457280102709546
10.0,0.5011872336272725,7.75,0.9602633477872773,3.973665221272271
10.0,0.5011872336272725,8.0,0.9589841433484664,4.101585665153362
