formulation,absorption_enabled,time_h,undissolved_mg,dissolved_mg,precipitated_mg,absorbed_mg,growth_site_activation,free_concentration_mg_ml
amorphous,True,1.3416666666666666,0.9753982179673848,19.00559038120311,65.90976723648635,14.109244164343133,4.148055178202742,0.02111732264578123
amorphous,True,1.35,0.8913632114693701,18.768891176754313,66.18328383847539,14.156461773300903,4.14815121497596,0.020854323529727013
amorphous,True,1.3583333333333334,0.812045277535778,18.534573118738876,66.45029099927189,14.20309060445343,4.1482268981279296,0.020593970131932086
amorphous,True,1.3666666666666667,0.7373425722985992,18.30266721231533,66.71085356642661,14.249136648959436,4.14828581707116,0.02033629690257259
amorphous,True,1.375,0.667149774692631,18.073206675461478,66.96503757158351,14.294605978262352,4.1483310893347305,0.020081340750512752
amorphous,True,1.3833333333333333,0.6013581004413764,17.846226908114723,67.21291024185882,14.339504749585057,4.1483653919883965,0.01982914100901636
amorphous,True,1.3916666666666666,0.5398553171466074,17.621765455363235,67.45454001615013,14.383839211339994,4.148390995805186,0.01957973939484804
amorphous,True,1.4,0.48252576061120644,17.39986196499299,67.68999656595568,14.427615708440094,4.148409801521959,0.01933317996110332
amorphous,True,1.4083333333333332,0.42925035250579724,17.180558139755217,67.91935082024203,14.470840687496935,4.148423377468419,0.019089509044172462
amorphous,True,1.4166666666666667,0.3799066195242866,16.963897684724262,68.1426749938581,14.513520701893333,4.148432997772111,0.01884877520524918
amorphous,True,1.425,0.3343687141402901,16.749926250177328,68.36004261896375,14.555662416718611,4.1484396803169465,0.018611029166863698
amorphous,True,1.4333333333333333,0.2925074371033298,16.53869137041829,68.57152857892237,14.597272613555994,4.148444223641152,0.018376323744909214
amorphous,True,1.4416666666666667,0.25419026180879273,16.330242398983696,68.77720914409517,14.638358195112323,4.148447242010062,0.01814471377664855
amorphous,True,1.45,0.2192813606480943,16.124630440688293,68.97716200898175,14.67892618968184,4.148449197989591,0.017916256045209213
amorphous,True,1.4583333333333333,0.1876416335123161,15.921908280885448,69.1714663301657,14.71898375543652,4.148450431973756,0.01769100920098383
amorphous,True,1.4666666666666666,0.1591287385129692,15.722130312400681,69.36020276454988,14.758538184536457,4.148451188276186,0.017469033680445202
amorphous,True,1.475,0.13359712510447627,15.52535246043034,69.54345350741,14.797596907055167,4.148451637570136,0.017250391622700378
amorphous,True,1.4833333333333334,0.11089806969629859,15.331632105755576,69.72130232983334,14.836167494714779,4.14845189564039,0.017035146784172863
amorphous,True,1.4916666666666667,0.09087971384206078,15.14102800656229,69.89383461516817,14.874257664427466,4.148452038578614,0.016823364451735878
amorphous,True,1.5,0.0733871052484955,14.953600218945072,70.06113739416631,14.911875281640118,4.148452114697583,0.016615111354383413
amorphous,True,1.5083333333333333,0.05826224146586986,14.769410016516959,70.22329937853885,14.949028363478305,4.148452153547962,0.01641045557390773
amorphous,True,1.5166666666666666,0.04534411670405002,14.588519808874901,70.38041099273204,14.985725081689,4.148452172487272,0.016209466454305446
amorphous,True,1.525,0.03446877152961522,14.41099305936496,70.53256440372793,15.021973765377485,4.148452181273156,0.016012214510405513
amorphous,True,1.5333333333333332,0.025469345703720836,14.23689420199934,70.67985354875904,15.057782903537893,4.148452185136066,0.015818771335554822
amorphous,True,1.5416666666666667,0.018176134543599447,14.066288557232165,70.82237416084803,15.093161147376206,4.148452186738829,0.01562920950803574
amorphous,True,1.55,0.012416647608183116,13.899242247943048,70.96022379203143,15.128117312417343,4.148452187363458,0.015443602497714499
amorphous,True,1.5583333333333333,0.008015672641351553,13.735822112569235,71.09350183437991,15.162660380409504,4.1484521875909675,0.015262024569521372
amorphous,True,1.5666666666666667,0.004795340661432241,13.576095619818581,71.22230953851933,15.196799501000667,4.148452187667998,0.015084550688687312
amorphous,True,1.575,0.0025751962444674568,13.42013078068536,71.34675002986286,15.23054399320731,4.148452187692106,0.014911256422983734
amorphous,True,1.5833333333333333,0.0011722706576511189,13.267996060308299,71.46692832237449,15.26390334665957,4.148452187699037,0.014742217844787
amorphous,True,1.5916666666666666,0.0004011587010170194,13.11976028878663,71.58295132988708,15.29688722262526,4.148452187700856,0.014577511431985143
amorphous,True,1.6,7.409922966281547e-05,12.975492571018009,71.69492787494246,15.329505454809855,4.148452187701289,0.014417213967797788
amorphous,True,1.6083333333333334,1.059294661802007e-06,12.835262195652279,71.80296869512323,15.361768049929813,4.148452187701382,0.014261402439613644
