id,concentration_M,kobs_ODE_fit_s,kobs_exact_s,kobs_rapid_equilibrium_s,kobs_QSSA_s,relative_fit_eigen_error,model
W06,1.9573417814876615e-07,7.119618379455018e-05,7.11961875031594e-05,7.131434400271186e-05,7.118466589030878e-05,5.208999742656317e-08,forward-only clamped free inhibitor
W06,3.162277660168379e-07,0.00010905897851031985,0.00010905898370378631,0.00010922164759665146,0.0001090333528969735,4.7620712151363875e-08,forward-only clamped free inhibitor
W06,5.108969774506935e-07,0.0001625711567117426,0.00016257116396543763,0.00016277751959999754,0.00016251861830732508,4.461858338355995e-08,forward-only clamped free inhibitor
W06,8.25404185268019e-07,0.00023347525826260395,0.00023347526845364332,0.00023370934029807728,0.00023337893951403242,4.3649331371575784e-08,forward-only clamped free inhibitor
W06,1.333521432163324e-06,0.00031979673698892823,0.00031979674654383723,0.0003200270847031384,0.00031964353410583697,2.9878068241728784e-08,forward-only clamped free inhibitor
W06,2.1544346900318865e-06,0.00041467705908894995,0.0004146770758586809,0.0004148693819067548,0.00041447031888152444,4.044045820439379e-08,forward-only clamped free inhibitor
W06,3.480700588428413e-06,0.0005079311620049741,0.0005079311798783992,0.0005080665192004589,0.0005076959855598278,3.5188674751829296e-08,forward-only clamped free inhibitor
W06,5.623413251903491e-06,0.0005900389850575958,0.0005900390057587667,0.000590120258848555,0.0005898107855110765,3.5084410932029186e-08,forward-only clamped free inhibitor
W06,9.085175756516881e-06,0.0006556203703924013,0.0006556203955425778,0.0006556630913984947,0.0006554265857804777,3.836088180442232e-08,forward-only clamped free inhibitor
W06,1.4677992676220705e-05,0.0007040449136950478,0.0007040449402731053,0.0007040651935120908,0.0007038963731062372,3.775051271581731e-08,forward-only clamped free inhibitor
W06,2.3713737056616554e-05,0.0007377674929048096,0.0007377675223954928,0.000737776450133362,0.0007376617003093772,3.997286723844695e-08,forward-only clamped free inhibitor
W06,3.831186849557293e-05,0.0007603056791754,0.0007603057124691817,0.0007603094557580304,0.0007602340205029679,4.378999285403751e-08,forward-only clamped free inhibitor
W06,6.18965818891261e-05,0.00077495798605423,0.0007749580183303239,0.0007749595369158193,0.0007749110265884322,4.16488289411987e-08,forward-only clamped free inhibitor
W06,0.0001,0.0007843130888597859,0.0007843131223811781,0.0007843137254901962,0.0007842829692953217,4.273980802604882e-08,forward-only clamped free inhibitor
W07,1e-09,8.08151104075496e-05,8.081511334147079e-05,8.866995073891627e-05,8.071748878923766e-05,3.630411526955868e-08,forward-only clamped free inhibitor
W07,1.6155980984398763e-09,0.00012958485214431472,0.00012958485790838515,0.00014196348969949303,0.00012933591454153593,4.448104906629169e-08,forward-only clamped free inhibitor
W07,2.6101572156825333e-09,0.00020684433878779144,0.00020684434712086273,0.00022606324043798138,0.00020621837606986506,4.0286676439293956e-08,forward-only clamped free inhibitor
W07,4.216965034285823e-09,0.000327802518590622,0.0003278025311190893,0.0003569482770360784,0.00032626296401561756,3.821955629756957e-08,forward-only clamped free inhibitor
W07,6.812920690579622e-09,0.0005136949435924882,0.0005136949622726062,0.0005563112915255987,0.0005100366154515624,3.636422263308958e-08,forward-only clamped free inhibitor
W07,1.1006941712522103e-08,0.0007912868639641993,0.0007912869120845331,0.0008502456838715282,0.0007830381183749526,6.081275083502646e-08,forward-only clamped free inhibitor
W07,1.7782794100389228e-08,0.0011882142920214148,0.0011882143545685856,0.001263439264540079,0.0011709975786662584,5.2639635761408954e-08,forward-only clamped free inhibitor
W07,2.8729848333536684e-08,0.0017211962275104416,0.0017211963465773499,0.001806974709724487,0.0016889448985027557,6.917683070817304e-08,forward-only clamped free inhibitor
W07,4.641588833612782e-08,0.0023781298852865534,0.0023781300430611393,0.0024627612102493157,0.002325654614987696,6.634396898519412e-08,forward-only clamped free inhibitor
W07,7.498942093324559e-08,0.0031057537106541993,0.003105753939731144,0.0031762597232690495,0.0030334962954558366,7.375888411154108e-08,forward-only clamped free inhibitor
W07,1.21152765862859e-07,0.0038210399460302433,0.003821040204997748,0.0038702949177683256,0.00373762751261652,6.777408523284123e-08,forward-only clamped free inhibitor
W07,1.9573417814876615e-07,0.0044463629461637105,0.004446363262061762,0.004475614663964396,0.004364722676564122,7.104638843902222e-08,forward-only clamped free inhibitor
W07,3.162277660168379e-07,0.004940131424331845,0.004940131744952131,0.00495532563062719,0.004870523774745564,6.490116100099641e-08,forward-only clamped free inhibitor
W07,5.108969774506935e-07,0.005300300832667153,0.005300301035895006,0.005307435632290733,0.005246872351745107,3.8342700126037244e-08,forward-only clamped free inhibitor
W07,8.25404185268019e-07,0.005548484490713707,0.005548484761127419,0.005551605122919893,0.00551042435539495,4.87364972823201e-08,forward-only clamped free inhibitor
W07,1.333521432163324e-06,0.005713022811838834,0.005713023076376319,0.005714324096645127,0.005687245612844288,4.6304291290155675e-08,forward-only clamped free inhibitor
W07,2.1544346900318865e-06,0.00581938313214006,0.00581938336013161,0.005819909164075898,0.005802492900793439,3.9177956878688747e-08,forward-only clamped free inhibitor
W07,3.480700588428413e-06,0.005887031745397019,0.0058870320123743415,0.0058872403190209635,0.0058761970173368825,4.5350071364858024e-08,forward-only clamped free inhibitor
W07,5.623413251903491e-06,0.00592962050566832,0.005929620726371844,0.005929702217591961,0.005922762932593796,3.7220512782987214e-08,forward-only clamped free inhibitor
W07,9.085175756516881e-06,0.005956261074018404,0.005956261324548113,0.005956292953756861,0.005951957245913789,4.2061571114970775e-08,forward-only clamped free inhibitor
W07,1.4677992676220705e-05,0.005972859100184992,0.00597285931738978,0.005972871533299074,0.0059701721730158345,3.6365294442397555e-08,forward-only clamped free inhibitor
W07,2.3713737056616554e-05,0.005983174470425979,0.005983174724087213,0.005983179427706336,0.005981502556103508,4.2395759014546286e-08,forward-only clamped free inhibitor
W07,3.831186849557293e-05,0.005989575421191988,0.005989575699726322,0.005989577507366838,0.005988537249277438,4.650318274901366e-08,forward-only clamped free inhibitor
W07,6.18965818891261e-05,0.005993543571718404,0.005993543866664516,0.005993544560536722,0.005992899780507679,4.9210637009799996e-08,forward-only clamped free inhibitor
