gene,diplotype,genetic_phenotype,I_over_Ki,time_h,depot_nmol,parent_nmol,metabolite_nmol,eliminated_nmol_equivalent,parent_AUC_nM_h,metabolite_AUC_nM_h,doses_received
CYP2C19,*1/*1,NM,100.0,145.0,367.8794411853303,1019.9201726568192,6.711811689137088,5605.488574468698,2220.7410120757113,33.502102714558674,7
CYP2C19,*1/*1,NM,100.0,145.25,286.5047968710061,1078.1672313190804,6.819178758848919,5628.508793051049,2225.993680120932,33.5584715300253,7
CYP2C19,*1/*1,NM,100.0,145.5,223.13016015685332,1120.594429365172,6.938594271505999,5649.3368162064535,2231.4963732602405,33.615789028325324,7
CYP2C19,*1/*1,NM,100.0,145.75,173.77394345700534,1150.7314686890868,7.065309511193293,5668.429278342699,2237.1791838886525,33.67413494122983,7
CYP2C19,*1/*1,NM,100.0,146.0,135.33528324172178,1171.3269698895426,7.1957038946183465,5686.142042974101,2242.9878189278716,33.73355432619288,7
CYP2C19,*1/*1,NM,100.0,146.25,105.3992245658433,1184.521250088304,7.327032783745645,5702.752492562091,2248.880144343344,33.79406587286904,7
CYP2C19,*1/*1,NM,100.0,146.5,82.08499862699762,1191.9808823968037,7.457231169809111,5718.476887806373,2254.823494027589,33.855668350559036,7
CYP2C19,*1/*1,NM,100.0,146.75,63.92786120912094,1195.0034909008796,7.584760867111087,5733.483887022872,2260.792573972413,33.91834560852779,7
CYP2C19,*1/*1,NM,100.0,147.0,49.78706836974348,1194.5993650440535,7.7084915894853046,5747.905074996702,2266.7678300524126,33.982070449993635,7
CYP2C19,*1/*1,NM,100.0,147.25,38.7742078331858,1191.5550209405858,7.827608411904903,5761.843162814308,2272.7341768691444,34.04680762960429,7
CYP2C19,*1/*1,NM,100.0,147.5,30.1973834234585,1186.482702943637,7.941539778250529,5775.378373854638,2278.680007789463,34.11251616893382,7
CYP2C19,*1/*1,NM,100.0,147.75,23.51774585689694,1179.85893547343,8.049901507918168,5788.573417161739,2284.5964239779405,34.17915114148289,7
CYP2C19,*1/*1,NM,100.0,148.0,18.315638889425625,1172.0545471796584,8.152453259892962,5801.477360671007,2290.476633981885,34.246665045135835,7
CYP2C19,*1/*1,NM,100.0,148.25,14.264233909537753,1163.358053751451,8.24906469634455,5814.12864764265,2296.315486142705,34.31500885391712,7
CYP2C19,*1/*1,NM,100.0,148.5,11.108996538661689,1153.993868437179,8.33968919793223,5826.557445826211,2302.1091044523773,34.38413282055461,7
CYP2C19,*1/*1,NM,100.0,148.75,8.65169520344725,1144.1364843809538,8.424343458177445,5838.7874769574055,2307.8546049728866,34.45398708552118,7
CYP2C19,*1/*1,NM,100.0,149.0,6.737946999339836,1133.9215198071302,8.50309165432094,5850.837441539193,2313.549874998024,34.52452213589342,7
CYP2C19,*1/*1,NM,100.0,149.25,5.247518399379487,1123.4543199886884,8.576033180282343,5862.722128431634,2319.1934010788295,34.59568914776237,7
CYP2C19,*1/*1,NM,100.0,149.5,4.086771438618349,1112.8166564373005,8.64329315178834,5874.453278972277,2324.784135103932,34.66744023845185,7
