polymer,drug_mass_fraction,drug_volume_fraction,chi_25C,mixing_free_energy_over_RT_per_site,dry_Tg_C
HPMC-AS,0.902526666667,0.89525471159,0.5143292057,-0.0531899832731,51.6290491931
HPMC-AS,0.905853333333,0.898801734393,0.5143292057,-0.0514318713721,51.4000518304
HPMC-AS,0.90918,0.90235070905,0.5143292057,-0.0496704905856,51.1712514199
HPMC-AS,0.912506666667,0.905901637174,0.5143292057,-0.0479058461735,50.9426477074
HPMC-AS,0.915833333333,0.909454520378,0.5143292057,-0.0461379395617,50.7142404396
HPMC-AS,0.91916,0.913009360276,0.5143292057,-0.0443667679222,50.4860293632
HPMC-AS,0.922486666667,0.916566158486,0.5143292057,-0.0425923236823,50.2580142256
HPMC-AS,0.925813333333,0.920124916627,0.5143292057,-0.0408145939498,50.0301947746
HPMC-AS,0.92914,0.923685636318,0.5143292057,-0.0390335598342,49.8025707583
HPMC-AS,0.932466666667,0.927248319181,0.5143292057,-0.0372491956396,49.5751419255
HPMC-AS,0.935793333333,0.930812966842,0.5143292057,-0.0354614678982,49.347908025
HPMC-AS,0.93912,0.934379580926,0.5143292057,-0.0336703342022,49.1208688066
HPMC-AS,0.942446666667,0.93794816306,0.5143292057,-0.0318757417799,48.8940240199
HPMC-AS,0.945773333333,0.941518714874,0.5143292057,-0.0300776257407,48.6673734155
HPMC-AS,0.9491,0.945091237999,0.5143292057,-0.0282759068886,48.4409167441
HPMC-AS,0.952426666667,0.948665734068,0.5143292057,-0.0264704889616,48.2146537568
HPMC-AS,0.955753333333,0.952242204715,0.5143292057,-0.0246612550961,47.9885842053
HPMC-AS,0.95908,0.955820651578,0.5143292057,-0.0228480632234,47.7627078416
HPMC-AS,0.962406666667,0.959401076295,0.5143292057,-0.021030739963,47.5370244183
HPMC-AS,0.965733333333,0.962983480506,0.5143292057,-0.0192090723412,47.3115336882
HPMC-AS,0.96906,0.966567865853,0.5143292057,-0.0173827962753,47.0862354046
HPMC-AS,0.972386666667,0.970154233979,0.5143292057,-0.0155515800648,46.8611293213
HPMC-AS,0.975713333333,0.973742586532,0.5143292057,-0.0137149998513,46.6362151924
HPMC-AS,0.97904,0.977332925157,0.5143292057,-0.0118725014675,46.4114927725
HPMC-AS,0.982366666667,0.980925251505,0.5143292057,-0.0100233376681,46.1869618166
HPMC-AS,0.985693333333,0.984519567227,0.5143292057,-0.00816645692073,45.9626220801
HPMC-AS,0.98902,0.988115873975,0.5143292057,-0.00630028529542,45.7384733189
HPMC-AS,0.992346666667,0.991714173405,0.5143292057,-0.00442222952386,45.5145152891
HPMC-AS,0.995673333333,0.995314467173,0.5143292057,-0.00252722189236,45.2907477475
HPMC-AS,0.999,0.998916756937,0.5143292057,-0.000600077746474,45.0671704511
PVP-VA,0.001,0.000907776102409,1.0286584114,-0.0054369275221,100.940226153
