scenario,time_h,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM,target_degraded_nM,target_synthesized_nM
no_penalty,20.75,13.47821384291737,14.292484096424353,69.40936514057877,7.555779160736037,8.708986676721194,9.43742734343604,7.2709063954924655,2.4534125859823184,2.7199018583364976,100.78457359672943,51.875000000000036
no_penalty,21.0,13.416869105460394,14.149294377000796,69.51653232287505,7.5544331525137585,8.682376061505511,9.355524768133158,7.29754079812686,2.44890738375146,2.6991186661553037,101.74790963854063,52.500000000000036
no_penalty,21.25,13.356410382656945,14.008697568146879,69.62222504490737,7.553101289734232,8.656011850606243,9.274864394220582,7.3238865117994525,2.444409982448006,2.6786022165657193,102.70600360590292,53.125000000000036
no_penalty,21.5,13.296831122217249,13.87064604940729,69.72645581459827,7.551783577087993,8.62989779010668,9.195429972383012,7.349943720293147,2.4399225607768096,2.658350142389475,103.6589223632668,53.750000000000036
no_penalty,21.75,13.238124526569653,13.735093129560738,69.82923727618565,7.550480014319536,8.604037297687738,9.117205440446108,7.375712702471562,2.435447192324037,2.6383600914322876,104.60673232252674,54.375000000000036
no_penalty,22.0,13.180283513212597,13.60199307466729,69.93058220673534,7.549190596414256,8.57843344833413,9.040174941344759,7.401193828415078,2.430985843944671,2.6186297317733955,105.54949944727045,55.000000000000036
no_penalty,22.25,13.12330077675964,13.471301048366561,70.03050350268528,7.547915313629949,8.553089009701372,8.964322801243263,7.4263875583326655,2.426540383515601,2.599156745069159,106.48728923589167,55.625000000000036
no_penalty,22.5,13.067168792417874,13.342973102524665,70.12901417305075,7.546654151641669,8.528006447815578,8.88963353077532,7.451294439871125,2.422112581806128,2.5799388272284354,107.42016671797924,56.250000000000036
no_penalty,22.75,13.011879827928214,13.216966160644755,70.22612733150102,7.54540709166766,8.503187937213283,8.816091822953329,7.475915105643451,2.4177041152899967,2.5609736879462357,108.34819644857141,56.875000000000036
no_penalty,23.0,12.957425985892435,13.093237975279397,70.32185618443714,7.544174110522001,8.478635387118283,8.74368253896655,7.500250271582315,2.4133165723516963,2.542259046091328,109.27144249484753,57.500000000000036
no_penalty,23.25,12.903799185095632,12.971747137417731,70.41621402801005,7.5429551807880895,8.454350435498448,8.672390717279566,7.524300733936471,2.4089514524194517,2.5237926334033354,110.18996843943307,58.125000000000036
no_penalty,23.5,12.850991218262479,12.852453020923543,70.50921423321942,7.541750270874803,8.430334482998976,8.602201554656373,7.548067367658587,2.4046101740664287,2.5055721879475357,111.1038373616919,58.750000000000036
no_penalty,23.75,12.798993723425564,12.73531580027881,70.60087024532609,7.5405593451616335,8.406588682203813,8.533100417631703,7.571551123577588,2.4002940731000715,2.487595458708073,112.01311184519922,59.375000000000036
no_penalty,24.0,12.747798237665698,12.620296398456235,70.69119556902072,7.539382364088595,8.383113969293861,8.465072825773989,7.594753026495899,2.396004410016022,2.469860199946859,112.91785395939459,60.000000000000036
no_penalty,24.25,12.697396184254105,12.50735649128192,70.78020376574965,7.538219284279665,8.359911061109973,8.39810445742003,7.6176741726869,2.391742369940065,2.452364173640746,113.81812526290042,60.625000000000036
no_penalty,24.5,12.64777889250161,12.396458484054012,70.8679084448224,7.537070058650525,8.336980469415213,8.332181144412889,7.6403157276465405,2.387509066267095,2.435105147983216,114.71398679591323,61.250000000000036
no_penalty,24.75,12.598937618963733,12.287565486994861,70.9543232544016,7.535934636516476,8.314322515732934,8.267288866381927,7.662678923883762,2.3833055443873072,2.4180808957598288,115.60549907232667,61.875000000000036
no_penalty,25.0,12.550863538091425,12.180641316604131,71.03946187907175,7.534812963719159,8.291937329324355,8.203413755323034,7.684765058583647,2.3791327818099854,2.4012891964345764,116.49272208295974,62.500000000000036
no_penalty,25.25,12.503547784560567,12.075650453272278,71.12333802531698,7.533704982716014,8.269824874650896,8.14054208274811,7.706575491318589,2.374991694705411,2.384727831807349,117.37571527880264,63.125000000000036
no_penalty,25.5,12.456981426916695,11.972558057083903,71.20596542433451,7.532610632712363,8.247984939025262,8.078660269352584,7.728111641981292,2.370883135590471,2.368394590263233,118.2545375823151,63.750000000000036
no_penalty,25.75,12.411155507298522,11.871329927543208,71.28735781733296,7.531529849762569,8.22641715872275,8.017754873706847,7.7493749882900795,2.366807899708447,2.3522872627862608,119.1292473707812,64.37500000000003
no_penalty,26.0,12.366061039320977,11.771932498861196,71.36752895239536,7.530462566881088,8.205121020706367,7.957812593779334,7.770367063713745,2.362766725832197,2.3364036441203258,119.99990247792685,65.00000000000003
no_penalty,26.25,12.321689002265037,11.674332838395857,71.44649258256695,7.529408714148148,8.184095862188432,7.898820269392746,7.791089455513726,2.358760296557732,2.3207415343277518,120.86656019741969,65.62500000000003
no_penalty,26.5,12.278030381317343,11.578498605876131,71.52426245018825,7.528368218834489,8.163340897089396,7.8407648715568286,7.8115438019323244,2.3547892448322822,2.305298734948263,121.729277264927,66.25000000000003
no_penalty,26.75,12.23507613968267,11.484398070648755,71.60085229238206,7.5273410054796575,8.142855202239634,7.783633510857951,7.831731790945344,2.3508541511506844,2.290073052971675,122.58810987299589,66.87500000000003
no_penalty,27.0,12.192817252081102,11.392000076645271,71.67627582667596,7.526326996029435,8.122637740374067,7.727413428979382,7.851655157307113,2.3469555492739684,2.2750622979368456,123.44311365525661,67.50000000000003
no_penalty,27.25,12.151244702177667,11.301274038102017,71.75054674889317,7.525326109928357,8.102687361108265,7.672091999926897,7.871315680801829,2.343093926848276,2.260264282968901,124.29434368941523,68.12500000000003
no_penalty,27.5,12.110349479126361,11.21218993607674,71.82367873162693,7.524338264207902,8.083002801185359,7.617656731395589,7.890715184609028,2.3392697258508712,2.2456768258795625,125.14185450103277,68.75000000000003
no_penalty,27.75,12.070122605987445,11.124718287594467,71.89568541042216,7.523363373632168,8.063582705150537,7.564095258059455,7.909855532159713,2.3354833477847485,2.2312977469707342,125.98570004899986,69.37500000000003
no_penalty,28.0,12.030555120080697,11.03883015632911,71.96658038934326,7.522401350747331,8.044425614881277,7.511395346522774,7.9287386265140745,2.331735151586555,2.217124871699403,126.82593373944744,70.00000000000003
no_penalty,28.25,11.991638097835404,10.954497124562973,72.03637722780438,7.5214521060290505,8.025529988223319,7.459544890001335,7.947366407177677,2.328025458394194,2.2031560289464407,127.66260841258358,70.62500000000003
no_penalty,28.5,11.953362651315345,10.871691289958147,72.10508943981846,7.520515547959877,8.00689419895048,7.408531909190923,7.9657408487121835,2.3243545518728643,2.189389052002436,128.49577634725705,71.25000000000004
no_penalty,28.75,11.915719925434583,10.790385261747442,72.17273049303652,7.5195915831058375,7.988516537156162,7.358344552913135,7.983863959345253,2.3207226786325728,2.1758217794636967,129.32548926519965,71.87500000000004
