degrader_total_nM,penalty_kcal_mol,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM
6.812920690579608,1.0,27.756395735078968,67.90659813169162,1.8528831277753042,16.81248591007803,0.5142935734538223,1.258229899428294,0.6230314295748722,1.7293106914672138,0.8351719688801011
10.0,1.0,26.842834734539508,66.90940848106258,2.8623070613089494,15.545784139004661,0.7683243540622158,1.9151527236335033,0.8899361542931541,2.3888409113982787,1.1754387953039054
14.67799267622069,1.0,25.635779757007377,65.4379105124529,4.499209732197409,13.918813392051964,1.153407497751969,2.944188838322912,1.2524732134831966,3.2108127452406507,1.617900649224186
21.54434690031882,1.0,24.105007228977914,63.28370888373349,7.208351144192205,11.963289761678892,1.7375735643976433,4.561711953407867,1.7247118688380185,4.1574192066244455,2.1545791628586457
31.622776601683793,1.0,22.250921304439917,60.18564096516614,11.751945640658962,9.817069024927415,2.614916176243583,7.0729838097084965,2.3073932306308773,5.134162519316503,2.741375225125375
46.41588833612777,1.0,20.095998778161547,55.86921102693694,19.391948093930083,7.7071938126521,3.8970056520179113,10.834128402831873,2.9891500472961723,6.006995569820541,3.29666057023119
68.12920690579608,1.0,17.66466748966268,50.14183099268638,32.16961277105417,5.853493860640511,5.682655128718779,16.130432866663636,3.766092617090963,6.652677381618537,3.727736140649988
100.0,1.0,14.996674473873558,43.05208302104237,53.382580529810475,4.370505246088381,8.005611827809084,22.982312888468805,4.666176965105443,6.99771369831736,3.965604090488815
146.77992676220674,1.0,12.205686593731755,35.0618769269049,88.29864759329716,3.2553401701152644,10.77745619174152,30.959163147283324,5.748842689546235,7.016857214526729,3.97895992581178
215.44346900318823,1.0,9.505460586150962,27.04015160449079,144.92030547871084,2.4388493012656394,13.775342518608431,39.186670307134584,7.068775715119139,6.719196895240605,3.773178088374626
316.22776601683796,1.0,7.127806691339856,19.9054691804018,234.63595374653633,1.8379724002913842,16.724397211434706,46.70538745915861,8.625088142043591,6.147796097225437,3.389143360439595
464.1588833612773,1.0,5.2028731412087375,14.181106350236915,373.2026823601529,1.3853304090927459,19.417262122786955,52.92426928743014,10.340180492570013,5.379864736004306,2.8946243623329333
681.2920690579608,1.0,3.732649413091893,9.905142659034734,582.842216351005,1.0369568675686751,21.755456567877573,57.73135300664692,12.087644779082446,4.511894019030537,2.363504334318344
1000.0,1.0,2.6474961042693574,6.843465134988492,895.7514965639365,0.7669239028918888,23.71498597546469,61.30044136349063,13.73946467532129,3.6375179202659567,1.8560935015208655
1467.7992676220676,1.0,1.8620091237726069,4.700613650878861,1359.1617793931698,0.5591722499118331,25.307716339130934,63.88894413968336,15.200111003548987,2.8302745370964613,1.4104422094377786
2154.4346900318824,1.0,1.3005430079990319,3.218469585555133,2042.534248403041,0.40193828414952965,26.564036353591327,65.738343559399,16.41945422239535,2.1354206384096455,1.0431868550458585
3162.2776601683795,1.0,0.9031020821710187,2.19965441084995,3047.9911735625283,0.28525743856644975,27.526471752832062,67.0452722915853,17.38924309887188,1.5704261649969213,0.7550732975647538
4641.588833612773,1.0,0.624104055590398,1.5017029903856824,4525.58396395363,0.20031311814707325,28.2443530581833,67.96082971910656,18.130676705118873,1.1315428862263042,0.5374672905077533
6812.920690579608,1.0,0.42964578540060194,1.0245047077583174,6695.694706607572,0.13949362451338262,28.767770110230632,68.59770748631904,18.680134465195206,0.8025841043687647,0.3777878059226528
10000.0,1.0,0.29490715152569735,0.6986323670680372,9881.915790029678,0.09652859776523882,29.142476372544635,69.03826219555447,19.07774948891474,0.5626164759296673,0.2631054373775006
0.0,2.0,30.0,70.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
0.01,2.0,29.995956516757083,69.99781835689974,0.0026965158008123487,19.995392863740104,0.0008088457070791562,0.0018875022322177284,0.0010783578560105134,0.003234637535839475,0.00029414086804077384
0.014677992676220698,2.0,29.99406539924022,69.99679762827064,0.003958253920843515,19.993238153500894,0.0011872412696857942,0.0027706509865859236,0.0015827662662290616,0.004747359490098573,0.00043172074277783253
0.021544346900318832,2.0,29.991290104230618,69.99529922166923,0.0058105900570026335,19.990076053974395,0.001742670920763239,0.004067139896943554,0.002323082743159001,0.006967224848621348,0.0006336384338290629
0.03162277660168379,2.0,29.987217574863276,69.99309946985282,0.008530218573570886,19.985435981546352,0.0025579752032681004,0.005970564371195331,0.003409602744213972,0.010224449933459527,0.0009299657759759756
0.046415888336127774,2.0,29.98124217341694,69.98986983221562,0.012523747944348457,19.978627989692967,0.0037547752003834365,0.008765354884364265,0.005004146024336397,0.015003051382677109,0.001364812900018133
0.06812920690579612,2.0,29.972476337850914,69.98512755628963,0.018389024469909192,19.968641045803743,0.005511646008005146,0.01286958223162326,0.007344076576442362,0.022012016141078384,0.00200286147873798
0.1,2.0,29.959620302218656,69.97816293803857,0.027005777433270768,19.953994752746873,0.008090828378670173,0.018898146934938267,0.010777462823946695,0.032288869402672025,0.0029389150265043155
0.1467799267622069,2.0,29.940772717595156,69.96793186621665,0.039670032956150764,19.932523922228384,0.011877514404396194,0.027756301630065257,0.015814477617881267,0.04734976800044788,0.004311832153287766
