alpha,Kd_E_nM,Kd_T_nM,peak_EPT_nM,optimal_total_P_nM
10.0,0.251188643150958,0.251188643150958,96.88005326153427,100.25118864315095
10.0,0.31622776601683794,0.251188643150958,96.69290657325982,100.28183829312644
10.0,0.3981071705534973,0.251188643150958,96.48335849715859,100.31622776601684
10.0,0.5011872336272724,0.251188643150958,96.24878709878301,100.35481338923357
10.0,0.6309573444801934,0.251188643150958,95.9862789985555,100.3981071705535
10.0,0.7943282347242815,0.251188643150958,95.69260102843592,100.44668359215096
10.0,1.0,0.251188643150958,95.36417023504815,100.50118723362728
10.0,1.2589254117941675,0.251188643150958,94.99702246841403,100.56234132519035
10.0,1.584893192461114,0.251188643150958,94.5867799279245,100.6309573444802
10.0,1.9952623149688797,0.251188643150958,94.12861820811494,100.70794578438414
10.0,2.511886431509581,0.251188643150958,93.6172336048508,100.79432823472428
10.0,3.1622776601683795,0.251188643150958,93.04681171765816,100.89125093813375
10.0,3.981071705534973,0.251188643150958,92.41099872742532,101.0
10.0,5.011872336272725,0.251188643150958,91.70287715288904,101.12201845430197
10.0,6.309573444801933,0.251188643150958,90.9149484070777,101.25892541179417
10.0,7.943282347242818,0.251188643150958,90.03912509869026,101.41253754462275
10.0,10.0,0.251188643150958,89.06673676372026,101.58489319246111
10.0,12.589254117941675,0.251188643150958,87.9885535754375,101.77827941003892
10.0,15.848931924611142,0.251188643150958,86.79483356363713,101.99526231496888
10.0,19.952623149688808,0.251188643150958,85.475399960235,102.23872113856834
10.0,25.11886431509582,0.251188643150958,84.01975643881903,102.51188643150958
10.0,31.622776601683793,0.251188643150958,82.41724915785657,102.81838293126445
10.0,39.810717055349734,0.251188643150958,80.65728552897721,103.16227766016837
10.0,50.11872336272725,0.251188643150958,78.72962032240794,103.54813389233576
10.0,63.095734448019364,0.251188643150958,76.62471980807587,103.98107170553497
10.0,79.43282347242821,0.251188643150958,74.33421371162115,104.46683592150964
10.0,100.0,0.251188643150958,71.85144229648448,105.01187233627272
10.0,125.89254117941675,0.251188643150958,69.17210117095044,105.62341325190349
10.0,158.48931924611142,0.251188643150958,66.2949786346276,106.30957344480194
10.0,199.52623149688807,0.251188643150958,63.2227686414158,107.07945784384138
10.0,251.18864315095823,0.251188643150958,59.96292601340971,107.94328234724281
10.0,316.22776601683796,0.251188643150958,56.52850910573102,108.91250938133746
10.0,398.1071705534973,0.251188643150958,52.938929413806214,110.0
10.0,501.18723362727246,0.251188643150958,49.220500099085626,111.22018454301964
10.0,630.9573444801937,0.251188643150958,45.40665113867377,112.58925411794166
10.0,794.3282347242822,0.251188643150958,41.5376660071014,114.12537544622757
10.0,1000.0,0.251188643150958,37.65980457853382,115.84893192461114
10.0,0.1,0.31622776601683794,97.26004672173738,100.1778279410039
10.0,0.12589254117941673,0.31622776601683794,97.1414558337509,100.19952623149689
10.0,0.15848931924611134,0.31622776601683794,97.00856805101107,100.22387211385683
10.0,0.19952623149688797,0.31622776601683794,96.85968355154594,100.25118864315095
10.0,0.251188643150958,0.31622776601683794,96.69290657325982,100.28183829312644
10.0,0.31622776601683794,0.31622776601683794,96.50612443625029,100.31622776601684
10.0,0.3981071705534973,0.31622776601683794,96.29698474814236,100.35481338923357
10.0,0.5011872336272724,0.31622776601683794,96.06287075638501,100.3981071705535
10.0,0.6309573444801934,0.31622776601683794,95.80087485238525,100.44668359215096
10.0,0.7943282347242815,0.31622776601683794,95.50777028889073,100.50118723362728
10.0,1.0,0.31622776601683794,95.17998124835968,100.56234132519035
10.0,1.2589254117941675,0.31622776601683794,94.81355150127993,100.6309573444802
10.0,1.584893192461114,0.31622776601683794,94.40411202566833,100.70794578438414
10.0,1.9952623149688797,0.31622776601683794,93.94684812963553,100.79432823472428
