time_day,mean_eob,sem_eob,mean_targeted_effect,mean_mab_effect,mean_combo_effect
34.75,0.10693174541280427,0.007301482314704062,0.4632251394632534,0.619496885333809,0.902252851971282
35.0,0.10669200438567693,0.007324035054132169,0.46518980034340723,0.6221027104409793,0.9041586002297817
35.25,0.10644133305133495,0.0073456228312314764,0.4671336861249805,0.624679575104908,0.9060202808521389
35.5,0.10617994005449306,0.007366302769153282,0.469056179481325,0.6272276549934397,0.9078382201824688
35.75,0.10590838815083738,0.007386065382408117,0.4709581799604209,0.6297471297565229,0.909613766298594
36.0,0.10562726569131704,0.007404894820358521,0.4728407131555886,0.6322381826773763,0.9113483399542713
36.25,0.10533704235678909,0.007422814943632631,0.4747036902705924,0.6347010003378941,0.9130427688404462
36.5,0.10503794123056098,0.00743988341022024,0.4765464660126552,0.6371357722979935,0.9146973678052183
36.75,0.10473045584487824,0.0074560920024613845,0.4783699237106786,0.6395426907885349,0.9163133785057326
37.0,0.10441509705326574,0.007471426044997433,0.48017507485278244,0.6419219504177001,0.917892106602491
37.25,0.10409229875121442,0.007485910115060852,0.4819618150021157,0.644273747890867,0.9194343169147685
37.5,0.10376229434041466,0.0074996021654512544,0.48372947241529163,0.6465982817438648,0.9209403090363769
37.75,0.10342551186400292,0.007512494845448549,0.485478915155701,0.6488957520892931,0.92241122249844
38.0,0.1030823894271131,0.0075245742509219855,0.48721114132692833,0.6511663603757557,0.9238482532343804
38.25,0.10273332604852031,0.007535865346918051,0.4889260315173876,0.6534103091599112,0.9252521044839104
38.5,0.1023785622611798,0.0075464261316581065,0.4906228886002095,0.6556278018910601,0.9266230581191788
38.75,0.10201846478976431,0.007556249751048788,0.49230256593071814,0.6578190427077705,0.9279621566413903
39.0,0.10165340404579642,0.007565322708737783,0.49396604864366045,0.6599842362461891,0.9292704922978767
39.25,0.10128374558182873,0.007573670060690088,0.49561320282264476,0.6621235874597255,0.9305487089184242
39.5,0.1009097346062814,0.007581349622884768,0.49724330689836926,0.6642373014496765,0.9317970692543907
39.75,0.10053168090835289,0.007588354721449554,0.49885719998835076,0.6663255833061348,0.9330165244210218
40.0,0.10014989236409055,0.007594671963298444,0.5004558546454607,0.668388637958732,0.934208069449385
40.25,0.09976470280492748,0.007600326246554342,0.5020391229523211,0.6704266700367982,0.9353722915779764
40.5,0.09937636025155853,0.007605375013892869,0.5036062598973237,0.6724398837384747,0.9365094338933165
40.75,0.0989851220076493,0.007609811516197767,0.5051580909039523,0.674428482708104,0.9376203620911089
41.0,0.09859123854689793,0.007613622221346621,0.5066955764251737,0.6763926699214653,0.938705980667713
41.25,0.09819501394892897,0.007616831671818658,0.508218555164482,0.6783326475784545,0.9397668235297363
41.5,0.09779669767683583,0.007619496785543546,0.5097262597807939,0.68024861700281,0.9408031142099292
41.75,0.09739649897058382,0.007621610540302896,0.5112195026557387,0.6821407785482727,0.9418156390786033
42.0,0.09699461592603717,0.007623159079525347,0.5126992327307311,0.684009331510832,0.9428052188069361
42.25,0.09659022865823902,0.007624126643783066,0.5141652760795172,0.685858718625962,0.9437733504388794
42.5,0.09618239744678948,0.00762452530624044,0.5156168440255504,0.68769370669187,0.9447212952704315
42.75,0.0957713433675434,0.007624348114337927,0.5170547371207309,0.6895142313493544,0.9456496568279411
43.0,0.09535727601089272,0.007623581472675732,0.5184798931331729,0.6913202299630271,0.9465590757460405
43.25,0.09494050148877145,0.007622249391987252,0.519892126234533,0.6931116473920755,0.9474498897841263
43.5,0.09452131632693357,0.00762040762932471,0.5212906281790922,0.694888435668589,0.948322183332114
43.75,0.09409990099172495,0.007618048892690882,0.5226761874850819,0.696650553686741,0.9491765136063702
44.0,0.09367641980631508,0.00761515918590267,0.524049732049715,0.6983979669025967,0.9500134722913326
44.25,0.09325114904766073,0.007611761739538985,0.5254110650639917,0.7001306470443283,0.9508333715230386
44.5,0.09282437394649308,0.007607911162442924,0.5267593596496403,0.7018485718324784,0.951636290900457
44.75,0.09239623551591017,0.007603599618724488,0.5280953935203615,0.7035517247098653,0.9524227437297119
45.0,0.09196685622676021,0.007598812594034086,0.5294200850322899,0.7052400945808128,0.9531932742069591
45.25,0.09153648446944473,0.007593572442668773,0.5307332271807471,0.7069136755595363,0.953948168924508
45.5,0.09110539460062117,0.007587932563782328,0.5320339758271433,0.7085724667273631,0.9546875015450302
45.75,0.09067369167036449,0.0075818845061005405,0.5333230985856968,0.7102164718984075,0.9554117434350461
46.0,0.0902414602406678,0.007575413179059799,0.5346015048674364,0.7118456993934318,0.9561213938080954
46.25,0.08980892338684335,0.007568540025708185,0.5358689782753889,0.7134601618217306,0.9568167148102461
46.5,0.08937634565110869,0.0075613172288375,0.5371246587079319,0.715059875870762,0.9574977739797795
46.75,0.08894379996221477,0.0075537357024620345,0.5383693043278512,0.7166448621031809,0.9581650034192336
47.0,0.08851133713643451,0.007545779768420816,0.5396038161364545,0.718215144761031,0.9588188604250653
47.25,0.08807915771972155,0.007537469963130563,0.5408279691206643,0.719770751576962,0.9594595843234659
47.5,0.08764751772310973,0.007528857278336688,0.5420408885026207,0.7213117135922235,0.9600872368405953
47.75,0.08721646175517428,0.007519932003982372,0.5432433235801811,0.7228380649811257,0.9607022137396969
48.0,0.08678601091101512,0.007510677888491156,0.5444361674191269,0.724349842881756,0.9613049336066456
48.25,0.08635634589319864,0.007501114586744385,0.5456191871368667,0.7258470872328325,0.9618956147321422
48.5,0.08592771542102032,0.0074912919399318005,0.5467914945480417,0.7273298406164819,0.96247431352182
48.75,0.08550013931237216,0.007481199639018599,0.5479538306127731,0.7287981481066578,0.9630413922901283
49.0,0.08507361263721665,0.007470820885118267,0.5491070808798932,0.7302520571230231,0.9635972340203416
49.25,0.0846482986902318,0.0074601744856312305,0.550251005313176,0.7316916172901863,0.9641420377120663
49.5,0.08422443997893796,0.007449309177391877,0.5513847035605356,0.7331168803021151,0.9646758549605146
49.75,0.083802034700135,0.007438214083489518,0.5525089087180236,0.7345278997914714,0.9651990173565881
50.0,0.08338105520460828,0.007426871888639162,0.5536244991887881,0.7359247312037073,0.9657118751880515
50.25,0.0829616495244315,0.007415300590091213,0.5547312284665179,0.7373074316758392,0.96621460978855
50.5,0.08254405485370322,0.007403547867897554,0.5558281852331707,0.7386760599197448,0.9667072684115378
50.75,0.08212825057187884,0.007391602310503715,0.5569160951478855,0.7400306761097457,0.9671901544430836
51.0,0.0817141892339909,0.007379446118776782,0.5579958298007602,0.7413713417743522,0.9676635881553426
51.25,0.08130200548013296,0.007367096518082289,0.5590671368640608,0.7426981196920827,0.9681277347044731
51.5,0.0808919319283013,0.007354600179077999,0.5601290952018383,0.7440110737912435,0.9685826374186705
51.75,0.08048393160870637,0.007341945189413263,0.5611824234238263,0.7453102690534403,0.9690285737922877
52.0,0.08007793985724099,0.007329113299086789,0.5622279866087968,0.746595771420723,0.9694658365421267
52.25,0.07967407955338453,0.007316121000012172,0.563265527218286,0.7478676477062898,0.9698945760067833
52.5,0.07927257934845655,0.007303014000337709,0.5642941153821275,0.7491259655086505,0.9703148319612304
52.75,0.07887338809628193,0.00728977992087573,0.5653144630145231,0.7503707931290468,0.9707268581317505
53.0,0.07847642618552227,0.007276400093749559,0.5663274289599738,0.7516021994920424,0.9711309219389905
53.25,0.07808180616458298,0.007262890315849034,0.5673327510391057,0.7528202540692195,0.9715271601503679
53.5,0.07768975323117151,0.007249295379291089,0.5683294916577115,0.754025026805904,0.9719156093264657
53.75,0.07730020397919624,0.00723560247194038,0.5693183563596803,0.7552165880507264,0.9722965013783497
54.0,0.07691306585640166,0.00722179254086567,0.5703001980123482,0.756395008487951,0.9726700805080917
54.25,0.07652844234028015,0.007207880726319918,0.5712747503222652,0.7575603590725174,0.9730364710589713
54.5,0.0761465556166465,0.007193910950606885,0.5722410689019591,0.7587127109677294,0.9733957066919541
54.75,0.07576733171290037,0.007179870002316381,0.5731998532255546,0.7598521354854165,0.973747999301495
55.0,0.07539066690987811,0.007165738475932021,0.5741519504238028,0.7609787040285098,0.9740935717839152
55.25,0.07501665673084276,0.007151530893344619,0.5750970905720572,0.7620924880359813,0.9744325371171836
55.5,0.07464552073813525,0.007137290353073766,0.5760343233384506,0.7631935589301068,0.9747649263591593
55.75,0.07427717589043702,0.007123003277692432,0.5769643424063715,0.764281988065871,0.9750909330455322
56.0,0.07391150887091458,0.00710864994098774,0.5778879893964517,0.7653578466824849,0.9754107605287343
56.25,0.07354772442430907,0.007094189178054664,0.5788049912086903,0.7664240873636823,0.9757248753241899
56.5,0.07318508519245838,0.007079603183341608,0.5797143921422551,0.7674839022648484,0.9760336923972968
56.75,0.07282355220831334,0.007064880380168936,0.5806168807745339,0.7685372084762392,0.9763373580538603
57.0,0.07246305662375246,0.007050003207339151,0.58151329315433,0.7695839236492971,0.9766360291275795
57.25,0.07210373099877568,0.007034987383288478,0.5824033533346636,0.7706239700342208,0.976929770466097
57.5,0.07174583644510317,0.007019876537382785,0.5832861013813133,0.7716572743197483,0.9772185791445174
57.75,0.07138932323206067,0.007004658706588915,0.5841622201589125,0.7726837674769446,0.9775025912556546
58.0,0.07103411029990045,0.006989315921630187,0.585032540898484,0.7737033846070065,0.977781952919706
58.25,0.07068031821963905,0.006973863115823104,0.5858967852493236,0.7747160647930652,0.9780567243171819
58.5,0.0703281981223449,0.006958342793279102,0.5867539893421607,0.7757217509559186,0.9783269029612724
58.75,0.06997768938520949,0.006942742531457798,0.5876048309814048,0.7767203897135626,0.9785926153890547
59.0,0.06962870010897727,0.006927043976791394,0.5884501364971555,0.7777119312444536,0.9788539972339783
59.25,0.06928133998678959,0.006911261305667034,0.5892896254193033,0.7786963291545018,0.979111103958195
59.5,0.06893585102179962,0.006895435937976798,0.5901223305534123,0.7796735403477157,0.9793639332437869
59.75,0.06859216304874982,0.00687955502608919,0.5909489248569746,0.7806435249003659,0.97961260245443
60.0,0.06825017474717596,0.006863599868831362,0.5917702299416184,0.7816062459386055,0.9798572372417951
