time_min,salt_m,dar_0_signal,dar_1_signal,dar_2_signal,dar_3_signal,dar_4_signal,dar_5_signal,dar_6_signal,dar_7_signal,dar_8_signal,total_signal
24.475,0.45107142857142857,4.870474706924606e-08,1.1245576594178948e-06,9.630411741865577e-06,3.868302108635813e-05,8.121900970371431e-05,9.577914006324534e-05,6.847916597788635e-05,3.591705962168061e-05,0.00020169077235511146,0.000532571842956349
24.48,0.4508571428571429,4.868306850451216e-08,1.1240081629103562e-06,9.625068821071912e-06,3.865787716979579e-05,8.115457728147649e-05,9.568055714311485e-05,6.837740934262814e-05,3.581836234988288e-05,0.00019835399366550233,0.0005288405370048872
24.485,0.45064285714285723,4.8661404413683584e-08,1.1234590691713058e-06,9.619730347010482e-06,3.863275777275652e-05,8.109022155882283e-05,9.558212653877847e-05,6.827587994442709e-05,3.572007514873467e-05,0.00019505672447060336,0.0005251496362547184
24.490000000000002,0.4504285714285714,4.863975478387535e-08,1.122910377807102e-06,9.614396314746384e-06,3.860766286335395e-05,8.102594241397449e-05,9.548384793622183e-05,6.81745771053888e-05,3.562219572781918e-05,0.00019179914012054276,0.0005214993126146383
24.495,0.45021428571428573,4.861811960221687e-08,1.1223620884245854e-06,9.609066719351551e-06,3.858259240975355e-05,8.096173972539475e-05,9.538572102224057e-05,6.807350015015168e-05,3.5524721812846975e-05,0.00018858139239914204,0.000517889714446908
24.5,0.45000000000000007,4.85964988558517e-08,1.1218142006310748e-06,9.603741555904762e-06,3.85575463801725e-05,8.08976133717878e-05,9.528774548443717e-05,6.79726484058754e-05,3.5427651145518043e-05,0.0001854036099654315,0.0005143209670086141
24.505,0.4497857142857144,4.857489253193788e-08,1.1212667140343698e-06,9.598420819491604e-06,3.853252474287964e-05,8.083356323209867e-05,9.518992101121936e-05,6.787202120222965e-05,3.533098148338603e-05,0.00018226589880476518,0.0005107931729026365
24.51,0.44957142857142857,4.855330061764758e-08,1.120719628242747e-06,9.593104505204496e-06,3.850752746619534e-05,8.076958918551216e-05,9.509224729179696e-05,6.777161787138287e-05,3.523471059972336e-05,0.00017916834268879718,0.0005073064125374727
24.515,0.4493571428571429,4.853172310016731e-08,1.1201729428649642e-06,9.587792608142639e-06,3.848255451849144e-05,8.070569111145296e-05,9.499472401617982e-05,6.767143774799131e-05,3.513883628338819e-05,0.00017611100364365188,0.0005038607445952633
24.52,0.44914285714285723,4.851015996669789e-08,1.1196266575102536e-06,9.58248512341204e-06,3.8457605868191095e-05,8.064186888958428e-05,9.489735087517489e-05,6.757148016918736e-05,3.5043356338691854e-05,0.0001730939224255658,0.0005004562065072844
24.525000000000002,0.4489285714285714,4.848861120445421e-08,1.1190807717883262e-06,9.577182046125465e-06,3.843268148376865e-05,8.057812239980782e-05,9.48001275603842e-05,6.747174447456899e-05,3.4948268585268485e-05,0.00017011711900336035,0.0004970928149362766
24.53,0.44871428571428573,4.846707680066544e-08,1.118535285309368e-06,9.571883371402476e-06,3.840778133374971e-05,8.051445152226314e-05,9.470305376420239e-05,6.737223000618847e-05,3.485357085794572e-05,0.0001671805930470567,0.0004937705662649187
24.535,0.44850000000000007,4.844555674257502e-08,1.11799019768404e-06,9.56658909436936e-06,3.83829053867108e-05,8.045085613732694e-05,9.460612917981373e-05,6.727293610854135e-05,3.4759261006616104e-05,0.0001642843244219473,0.0004904894370897522
24.54,0.4482857142857144,4.8424051017440405e-08,1.1174455085234786e-06,9.561299210159169e-06,3.835805361127944e-05,8.03873361256125e-05,9.450935350119038e-05,6.717386212855567e-05,3.466533689611065e-05,0.0001614282736875125,0.0004872493847199613
24.545,0.44807142857142856,4.840255961253327e-08,1.116901217439294e-06,9.556013713911667e-06,3.833322597613398e-05,8.032389136796919e-05,9.441272642308942e-05,6.707500741558105e-05,3.4571796406072964e-05,0.00015861238260050708,0.0004840503476803172
24.55,0.4478571428571429,4.838108251513945e-08,1.1163573240435695e-06,9.550732600773374e-06,3.8308422450003534e-05,8.026052174548217e-05,9.431624764105084e-05,6.697637132137808e-05,3.447863743083523e-05,0.00015583657462160626,0.0004808922462176882
24.555,0.44764285714285723,4.835961971255884e-08,1.1158138279488601e-06,9.545455865897498e-06,3.828364300166783e-05,8.019722713947118e-05,9.42199168513948e-05,6.687795320010726e-05,3.438585787929464e-05,0.00015310075542496144,0.00047777498281045605
24.560000000000002,0.4474285714285714,4.833817119210541e-08,1.115270728768194e-06,9.540183504443944e-06,3.825888759995714e-05,8.013400743149044e-05,9.41237337512194e-05,6.677975240831844e-05,3.429345567479167e-05,0.00015040481341009585,0.00047469844268027727
24.565,0.44721428571428573,4.831673694110732e-08,1.1147280261150704e-06,9.534915511579318e-06,3.8234156213752214e-05,8.007086250332841e-05,9.402769803839839e-05,6.668176830494041e-05,3.420142875498959e-05,0.00014774862021552467,0.00047166249430556916
24.57,0.44700000000000006,4.829531694690664e-08,1.1141857196034579e-06,9.529651882476892e-06,3.820944881198414e-05,8.000779223700638e-05,9.393180941157851e-05,6.658400025127009e-05,3.4109775071754575e-05,0.00014513203123350346,0.00046866698993612446
24.575,0.4467857142857144,4.827391119685956e-08,1.1136438088477958e-06,9.52439261231662e-06,3.818476536363421e-05,7.994479651477855e-05,9.383606757017729e-05,6.648644761096194e-05,3.4018492591037504e-05,0.00014255488612537133,0.0004657117661083221
24.580000000000002,0.44657142857142856,4.825251967833627e-08,1.1131022934629917e-06,9.519137696285097e-06,3.816010583773391e-05,7.988187521913134e-05,9.374047221438059e-05,6.638910975001769e-05,3.392757929275671e-05,0.0001400170093369069,0.00046279664416035355
24.585,0.4463571428571429,4.823114237872093e-08,1.1125611730644237e-06,9.513887129575577e-06,3.8135470203364824e-05,7.981902823278285e-05,9.364502304514049e-05,6.629198603677603e-05,3.383703317068219e-05,0.0001375182106131789,0.00045992143074694404
24.59,0.44614285714285723,4.820977928541172e-08,1.1120204472679352e-06,9.508640907387924e-06,3.8110858429658445e-05,7.975625543868218e-05,9.354971976417264e-05,6.619507584190189e-05,3.374685223232031e-05,0.00013505828551233753,0.0004570859183530143
