scenario,time_h,radius_um,extracellular_nm,neighbor_intracellular_nm,hypothetical_neighbor_survival,neighbor_cell_volume_um3
High permeability,1.0,168.75,1.7300496320222253e-12,4.8917937278991155e-14,1.0,626243.7705696502
High permeability,1.0,171.25,1.158652556951285e-12,3.264370259002645e-14,1.0,644936.2468585095
High permeability,1.0,173.75,7.755269543363217e-13,2.1772639679779365e-14,1.0,663903.6125045579
High permeability,1.0,176.25,5.187436750645541e-13,1.4513333088303296e-14,1.0,683145.8675077953
High permeability,1.0,178.75,3.4668619467680017e-13,9.666859985652061e-15,1.0,702663.0118682219
High permeability,1.0,181.25,2.3139745269240145e-13,6.4310389018334554e-15,1.0,722455.0455858377
High permeability,1.0,183.75,1.5409787919761834e-13,4.2691481715001964e-15,1.0,742521.9686606425
High permeability,1.0,186.25,1.0216654298124464e-13,2.821888573191613e-15,1.0,762863.7810926363
High permeability,1.0,188.75,6.710708885199942e-14,1.8483216638127116e-15,1.0,783480.4828818194
High permeability,1.0,191.25,4.317525975026201e-14,1.186189303191898e-15,1.0,804372.0740281915
High permeability,1.0,193.75,2.6449361444942692e-14,7.25154878363729e-16,1.0,825538.5545317528
High permeability,1.0,196.25,1.419528534446203e-14,3.8860328389609797e-16,1.0,846979.9243925032
High permeability,1.0,198.75,4.424626221915187e-15,1.210305710680141e-16,1.0,868696.1836104424
High permeability,1.5,1.25,0.22254301205715118,0.0,1.0,0.0
High permeability,1.5,3.75,0.21920740751374412,0.0,1.0,0.0
High permeability,1.5,6.25,0.2124353839032246,0.0,1.0,0.0
High permeability,1.5,8.75,0.20201612030773838,0.0,1.0,0.0
High permeability,1.5,11.25,0.18762685443615498,0.0,1.0,0.0
High permeability,1.5,13.75,0.1688235541784465,0.0,1.0,0.0
High permeability,1.5,16.25,0.1450286836899844,0.0,1.0,0.0
High permeability,1.5,18.75,0.11551558530478347,0.0,1.0,0.0
High permeability,1.5,21.25,0.07938918718869631,0.005051022731109594,0.9999984825335878,9941.831751672698
High permeability,1.5,23.75,0.055185761650994494,0.0034513227092423555,0.9999989784109554,12415.83596637466
High permeability,1.5,26.25,0.03869516307348099,0.0023795588631112968,0.9999993058516651,15164.729538265727
High permeability,1.5,28.75,0.02731448681831831,0.0016521668803251895,0.999999524895345,18188.512467345903
High permeability,1.5,31.25,0.0193818550638429,0.001153495895228501,0.9999996729268886,21487.184753615187
