KD_apical_nM,time_h,plasma_antibody_nmol,surface_receptor_nmol,surface_complex_nmol,endosomal_receptor_nmol,endosomal_complex_nmol,endosomal_free_antibody_nmol,brain_free_antibody_nmol,systemic_cleared_nmol,lysosomal_degraded_nmol,brain_cleared_nmol
100.0,45.5,76.579782878962,0.019573234651100394,0.004384547716937744,0.005971971081235443,7.02465509165368e-05,0.004525943186862469,0.03663683573285317,223.3448664137251,0.009056022491234777,0.020677111633936113
100.0,45.75,76.00736897154707,0.019617286551269254,0.004361657389494876,0.005951243312708987,6.981274671699915e-05,0.00450308424451221,0.03667927033265816,223.91706551938148,0.009091281895243306,0.020860402462673025
100.0,46.0,75.4392333075903,0.019661210991918643,0.004338836285519665,0.005930571811024207,6.938091172760428e-05,0.00448028698944941,0.03672035473236655,224.48498756997444,0.009126361431792776,0.0210439020842737
100.0,46.25,74.87534393519668,0.01970500733076379,0.00431608471469764,0.005909956908284379,6.895104644430927e-05,0.004457551789939561,0.036760098751959576,225.04866451312432,0.009161261604222044,0.021227603771607054
100.0,46.5,74.31566909024528,0.019748674941083726,0.004293402977824649,0.005889398930095225,6.852315118651771e-05,0.004434879009144098,0.03679851218085293,225.60812810866827,0.009195982918865774,0.021411500848423054
100.0,46.75,73.76017727461502,0.01979221320384684,0.004270791372002197,0.005868898198175048,6.809722616603282e-05,0.004412269004728161,0.03683560477753358,226.16340985043348,0.009230525884631687,0.02159558668629305
100.0,47.0,73.20883722433413,0.019835621510677286,0.004248250188690669,0.005848455029359502,6.767327146266158e-05,0.004389722128986784,0.036871386269543206,226.7145409980884,0.009264891013101078,0.02177985470554846
100.0,47.25,72.6616179076229,0.019878899263877363,0.00422577971370214,0.005828069735585447,6.725128702516939e-05,0.0043672387288302885,0.036905866353367456,227.26155257910042,0.009299078818487244,0.021964298375133653
100.0,47.5,72.11848852293635,0.019922045876449898,0.004203380227193161,0.005807742623874827,6.683127267223478e-05,0.004344819145769684,0.036939054694325214,227.80447539069348,0.009333089817593896,0.02214891121245881
100.0,47.75,71.57941850651376,0.0199650607710456,0.004181052004208028,0.005787473996834067,6.641322810242557e-05,0.0043224637163103985,0.036970960926383474,228.3433399922985,0.009366924529720688,0.022333686782888027
100.0,48.0,71.04437758903677,0.020007943373357328,0.004158795318065522,0.005767264155816494,6.599715295077619e-05,0.004300172774455309,0.03700159465158758,228.8781766488924,0.009400583476295498,0.022518618697343156
100.0,48.25,70.5133356135216,0.020050693132513564,0.004136610429920652,0.005747113391137116,6.558304661878999e-05,0.0042779466439523675,0.037030965441361245,229.40901551311552,0.00943406718183521,0.022703700619068918
100.0,48.5,69.98626269378786,0.020093309502960083,0.004114497598046428,0.0057270219907559795,6.517090842762903e-05,0.004255785645170574,0.03705908283513955,229.9358864667949,0.00946737617301151,0.022888926257330335
100.0,48.75,69.46312916605397,0.020135791949734524,0.004092457075137279,0.0057069902377433245,6.476073757499309e-05,0.004233690093090387,0.03708595634062196,230.45881916935156,0.009500510978867754,0.023074289369047752
100.0,49.0,68.94390558709513,0.020178139948475723,0.0040704891083085185,0.005687018410269698,6.435253313618361e-05,0.004211660297294068,0.0371115954336607,230.9778430596429,0.00953347213077674,0.023259783758645285
100.0,49.25,68.42856273240103,0.020220352985433083,0.004048593939095808,0.005667106781596062,6.394629406516767e-05,0.004189696561956024,0.03713600955814915,231.49298735780528,0.009566260162398477,0.023445403277899277
100.0,49.5,67.9170715943338,0.020262430557475945,0.004026771803454624,0.005647255620063908,6.354201919564202e-05,0.00416779918583315,0.03715920812591017,232.00428106709626,0.009598875609637986,0.023631141825786742
100.0,49.75,67.40940343144985,0.02030437216580952,0.004005022934837165,0.005627465192254085,6.313970728935239e-05,0.004145968465709432,0.037181200517126776,232.5117529245684,0.009631319010451144,0.023816993346205857
100.0,50.0,66.90552966733608,0.02034617732820126,0.003983347558217767,0.005607735756825672,6.27393569454235e-05,0.00412420468968075,0.03720199607917785,233.01543150224273,0.009663590905097373,0.0240029518319553
100.0,50.25,66.40542193042594,0.020387845573866088,0.003961745892598049,0.005588067567086086,6.234096663989863e-05,0.004102508139957712,0.037221604126968094,233.51534516728896,0.009695691835973736,0.024189011322850104
100.0,50.5,65.90905207476503,0.020429376440694886,0.003940218152366204,0.005568460872381349,6.194453474768444e-05,0.004080879094382319,0.037240033943055924,234.01152206125818,0.009727622347505575,0.024375165904629813
100.0,50.75,65.41639216374239,0.020470769477038377,0.003918764546428724,0.00554891591719273,6.155005953029036e-05,0.004059317825444324,0.037257294777389,234.50399011635315,0.009759382986147138,0.024561409709406967
100.0,51.0,64.92741446834424,0.020512024241704715,0.003897385278215635,0.005529432941132789,6.11575391369812e-05,0.004037824600278049,0.037273395847193594,234.99277705717498,0.009790974300339065,0.024747736915511548
100.0,51.25,64.44209146540764,0.020553140303957034,0.0038760805456857284,0.005510012178941428,6.076697160592966e-05,0.004016399680659206,0.03728834633686403,235.47791040246963,0.009822396840465888,0.024934141747335454
100.0,51.5,63.96039585449432,0.02059411724129041,0.0038548505425193853,0.005490653861501788,6.037835487853964e-05,0.003995043324062396,0.03730215539867333,235.9594174482522,0.009853651158851154,0.025120618474365277
100.0,51.75,63.482300562088454,0.020634954638720535,0.0038336954585029286,0.005471358216161856,5.999168680480349e-05,0.003973755783996546,0.03731483215292483,236.4373252636087,0.009884737809726932,0.025307161410767637
100.0,52.0,63.0077786523402,0.02067565209921768,0.0038126154739524178,0.005452125461937475,5.9606965082554065e-05,0.003952537305016684,0.037326385683981604,236.9116607799636,0.009915657349014447,0.02549376491904843
100.0,52.25,62.53680341895363,0.020716209232537506,0.00379161076569091,0.005432955814636857,5.922418732484949e-05,0.003931388128054643,0.03733682504428593,237.38245069918062,0.009946410334470811,0.02568042340581556
100.0,52.5,62.0693483542531,0.02075662565869953,0.0037706815051921096,0.005413849485258005,5.8843351040479975e-05,0.003910308488753225,0.03734615925296129,237.84972152450035,0.009976997325587532,0.02586713132289574
100.0,52.75,61.60538714752458,0.020796901007974197,0.0037498278585911884,0.005394806679989557,5.846445363518234e-05,0.003889298617467997,0.03735439729570559,238.31349956219918,0.010007418883548183,0.02605388316717514
100.0,53.0,61.14489368335699,0.02083703492087002,0.0037290499866956084,0.0053758276002116405,5.8087492412854484e-05,0.0038683587392691074,0.03736154812468448,238.7738109232482,0.010037675571186068,0.02624067348044004
100.0,53.25,60.687842039983515,0.020877027048120705,0.0037083480449959373,0.005356912442496713,5.7712464576769936e-05,0.0038474890739430886,0.03736762065842455,239.23068152497225,0.010067767952941908,0.02642749684921746
100.0,53.5,60.2342065622912,0.02091687704245506,0.0036877221880580982,0.005338061402409991,5.73393672669744e-05,0.003826689839468917,0.03737262378663896,239.68413701803064,0.010097696595232178,0.026614347901392138
100.0,53.75,59.78396168284472,0.0209565845780978,0.0036671725591294487,0.005319274665487299,5.696819747557727e-05,0.003805961243769384,0.03737656635840769,240.13420296541724,0.010127462065431525,0.026801221313702564
100.0,54.0,59.33708205598124,0.020996149335817074,0.003646699298115421,0.00530055241414388,5.659895211374838e-05,0.0037853034910293997,0.03737945719103821,240.58090470834804,0.01015706493257709,0.0269881118057207
100.0,54.25,58.8935425295399,0.021035571005840213,0.0036263025400287995,0.0052818948263210755,5.623162800003719e-05,0.0037647167804595737,0.037381305068200865,241.02426739453526,0.010186505767179823,0.027175014140841527
100.0,54.5,58.453318138115144,0.021074849288400754,0.0036059824147019843,0.005263302075228265,5.586622185912177e-05,0.0037442013060612848,0.037382118739486,241.46431598493513,0.010215785141154154,0.027361923126343377
100.0,54.75,58.016384101471054,0.02111398389371755,0.0035857390468020936,0.005244774329347422,5.55027303230587e-05,0.0037237572566318827,0.03738190692030211,241.90107525533375,0.010244903627776077,0.027548833613225417
100.0,55.0,57.582715822955656,0.02115297454197384,0.003565572555846066,0.005226311752437685,5.5141149932532894e-05,0.003703384815769891,0.03738067829177384,242.33456979793323,0.010273861801641221,0.027735740496045137
100.0,55.25,57.15228888791519,0.021191820963296346,0.003545483056215761,0.005207914503539909,5.4781477138107476e-05,0.00368308416188021,0.037378441500640125,242.76482402293743,0.010302660238622918,0.027922638712755868
100.0,55.5,56.72507913802255,0.021230522889402772,0.0035254706613655038,0.005189582741098476,5.4423708323373395e-05,0.0036628554722152045,0.037375205164947765,243.19186208421277,0.010331299516381403,0.028109523241331973
100.0,55.75,56.30106251264905,0.021269080070816328,0.0035055354751643373,0.005171316614448565,5.406783976089554e-05,0.0036426989145309243,0.03737097786196038,243.61570803793998,0.010359780213181782,0.02829638910625155
100.0,56.0,55.880215127344805,0.021307492268057556,0.0034856775963328637,0.005153116268163144,5.371386763656011e-05,0.0036226146513489267,0.037365768134168975,244.0363857641222,0.010388102908433377,0.028483231374945964
100.0,56.25,55.46251329426066,0.021345759249208087,0.0034658971196737413,0.005134981843251125,5.336178805717326e-05,0.00360260284113149,0.037359584490870186,244.45391894615997,0.010416268182807564,0.028670045156706087
100.0,56.5,55.04793350141013,0.021383880791991678,0.0034461941350290757,0.005116913476123184,5.301159704618587e-05,0.0035826636372686,0.03735243540660217,244.8683310915924,0.0104442766180568,0.02885682560333023
100.0,56.75,54.63645241117762,0.021421856683743024,0.0034265687273007084,0.005098911298601422,5.266329054497051e-05,0.00356279718808815,0.03734432932104989,245.27964553358933,0.010472128796973392,0.029043567908957648
100.0,57.0,54.22804685882674,0.0214596867213765,0.00340702097647051,0.0050809754379290166,5.231686441409838e-05,0.0035430036368661382,0.03733527463895034,245.6878854324432,0.010499825303348231,0.029230267309902077
100.0,57.25,53.82269385100846,0.021497370711354956,0.003387550957620669,0.005063106016779883,5.19723144346163e-05,0.003523283121836864,0.03732527972999778,246.0930737770611,0.010527366721929565,0.02941691908448524
100.0,57.5,53.42037062288421,0.021534908463383826,0.0033681587439290503,0.005045303156554572,5.162963632267742e-05,0.0035036357797904724,0.037314352934309,246.49523332783193,0.010554753638986567,0.029603518550436404
100.0,57.75,53.02105454321371,0.021572299800380473,0.0033488444019478137,0.005027566972152302,5.128882570953491e-05,0.0034840617403656305,0.03730250255346703,246.89438671155477,0.010581986641304128,0.029790061068605156
100.0,58.0,52.62472310530107,0.021609544559252517,0.0033296079912398745,0.005009897571556638,5.0949878141096104e-05,0.003464561125596899,0.03728973684970913,247.29055643049497,0.010609066316063568,0.029976542043108952
100.0,58.25,52.23135400120288,0.021646642582762964,0.0033104495682414396,0.004992295060089276,5.0612789096445585e-05,0.003445134054557925,0.03727606405301261,247.6837647881625,0.010635993251582519,0.03016295691802321
100.0,58.5,51.84092508873015,0.02168359372287174,0.0032913691846831548,0.004974759538653288,5.02775539819443e-05,0.003425780641443384,0.03726149235801149,248.07403392231615,0.010662768036948572,0.03034930117852312
100.0,58.75,51.45341439005307,0.02172039784069411,0.0032723668876152917,0.004957291103748195,4.99441681325285e-05,0.0034065009955850847,0.03724602992391091,248.4613858063589,0.010689391261979037,0.03053557035071315
