scenario,KD_apical_nM,initial_plasma_nM,pH_slope,receptor_nmol,plasma_AUC_nM_h,brain_AUC_nM_h,Kp_extravascular,Kp_with_vascular_contamination,lysosomal_loss_nmol
pH_sensitivity,1333.521432163324,100.0,0.7,0.03,2948.8221627523662,1.0254995297157645,0.00034776581059014615,0.050347765810590146,0.0016433842907943878
pH_sensitivity,1778.2794100389228,100.0,0.7,0.03,2948.847441511255,0.78614530316962,0.00026659409100076345,0.05026659409100076,0.0012563026604276233
pH_sensitivity,2371.373705661655,100.0,0.7,0.03,2948.8671081488087,0.5995652240591685,0.000203320530247819,0.05020332053024782,0.0009561029456704895
pH_sensitivity,3162.2776601683795,100.0,0.7,0.03,2948.8822812751123,0.4554379247695145,0.00015444425423878934,0.05015444425423878,0.0007250981152912484
pH_sensitivity,4216.965034285822,100.0,0.7,0.03,2948.8939070351457,0.34488743448462117,0.00011695484658224794,0.05011695484658225,0.0005484218301038736
pH_sensitivity,5623.413251903491,100.0,0.7,0.03,2948.9027688425595,0.2605519318296916,8.835555196414899e-05,0.05008835555196414,0.00041393416551817737
pH_sensitivity,7498.942093324558,100.0,0.7,0.03,2948.9094973832025,0.19648280543907792,6.66289710190945e-05,0.0500666289710191,0.00031193182868334335
pH_sensitivity,10000.0,100.0,0.7,0.03,2948.9145903794715,0.14796438457348682,5.017587998520042e-05,0.05005017587998521,0.00023478215347351122
pH_sensitivity,0.1,100.0,1.4,0.03,2947.7558923882707,6.516743402940919,0.002210747307729425,0.052210747307729434,0.06110976381966784
pH_sensitivity,0.1333521432163324,100.0,1.4,0.03,2947.7168234076794,7.377397359471884,0.002502749687788298,0.05250274968778829,0.05609688775012459
pH_sensitivity,0.1778279410038923,100.0,1.4,0.03,2947.6791236513864,8.210551675427638,0.0027854292584116006,0.052785429258411606,0.0512774931655928
pH_sensitivity,0.23713737056616552,100.0,1.4,0.03,2947.643982826656,8.990827248126617,0.0030501740713967853,0.05305017407139678,0.04678885704633014
pH_sensitivity,0.31622776601683794,100.0,1.4,0.03,2947.6123865493155,9.69812411968167,0.003290162629230563,0.05329016262923055,0.0427322588595753
pH_sensitivity,0.4216965034285822,100.0,1.4,0.03,2947.585004984631,10.319139694054858,0.003500879423868783,0.05350087942386878,0.03916587462181327
pH_sensitivity,0.5623413251903491,100.0,1.4,0.03,2947.5622331403856,10.847563046866995,0.0036801811764665634,0.05368018117646656,0.03610534465444604
pH_sensitivity,0.7498942093324559,100.0,1.4,0.03,2947.544213826553,11.283092697758736,0.0038279638503236663,0.053827963850323665,0.03353048629446206
pH_sensitivity,1.0,100.0,1.4,0.03,2947.530887169199,11.629708389337484,0.003945576428040972,0.053945576428040966,0.03139531212710251
pH_sensitivity,1.333521432163324,100.0,1.4,0.03,2947.5221873086984,11.893705359741984,0.004035153801709564,0.05403515380170956,0.029638440492439494
pH_sensitivity,1.7782794100389228,100.0,1.4,0.03,2947.518082858012,12.08189345638,0.004099005711498466,0.05409900571149846,0.028191831839552123
pH_sensitivity,2.371373705661655,100.0,1.4,0.03,2947.5185905395547,12.200178068628482,0.004139135239990189,0.05413913523999017,0.026986935698544018
pH_sensitivity,3.1622776601683795,100.0,1.4,0.03,2947.523958571307,12.252574569184905,0.004156904147820343,0.05415690414782034,0.02595827619797309
pH_sensitivity,4.216965034285822,100.0,1.4,0.03,2947.5346101798277,12.240614438391574,0.00415283145314612,0.05415283145314612,0.02504503954503565
pH_sensitivity,5.623413251903491,100.0,1.4,0.03,2947.551208683066,12.163081868994968,0.004126504005482335,0.05412650400548233,0.02419143530256563
