id,atom_zero_based,element,reaction_center,alpha_carbon,fplus_proxy,local_softness_eV_inv,electronic_method
W06,2,C,False,False,1.1095214265876307e-06,4.557137592155482e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,3,C,False,False,5.3686458675736505e-05,2.2050640317361864e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,4,O,False,False,1.0666437354921067e-05,4.381026042370273e-06,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,5,N,False,False,2.314178079104738e-06,9.505024118069551e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,6,C,False,False,2.67893591189989e-05,1.1003194042535325e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,7,C,False,False,8.33994087264634e-05,3.425464092566478e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,8,C,False,False,1.5126947319502447e-06,6.21309139529408e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,9,C,False,False,7.471300531975341e-07,3.068687426909007e-07,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,10,N,False,False,8.139725529222927e-08,3.343229640290302e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,11,C,False,False,5.571829547519913e-05,2.2885176689357263e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,12,N,False,False,0.12433382725835274,0.05106763552266147,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,13,C,False,False,0.37449228945967794,0.15381522604009676,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,14,C,False,False,1.3094932946384953e-05,5.378482088467627e-06,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,15,C,False,False,0.3715357665251734,0.15260089331212612,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,16,N,False,False,0.12925164549495127,0.0530875311119082,EHT/YAeHMOP; frozen-orbital LUMO population proxy
