id,initial_drug_M,time_s,E_free_M,EI_M,covalent_M,free_drug_M,GSH_adduct_M,cleared_drug_M
W03,4.641588833612782e-08,13770.0,5.4530929829383005e-09,7.184587721065538e-11,4.475061139827833e-09,2.6248236134560307e-09,2.949876566272604e-08,9.745392042884049e-09
W03,4.641588833612782e-08,13860.0,5.4561069076360115e-09,7.179198393010789e-11,4.4721011084106685e-09,2.6213816909914882e-09,2.9459766611529e-08,9.790846941243343e-09
W03,4.641588833612782e-08,13950.0,5.4591256008724876e-09,7.173816360472521e-11,4.469136235499576e-09,2.6179445115022425e-09,2.942082718875926e-08,9.836242236738802e-09
W03,4.641588833612782e-08,14040.0,5.46214890014594e-09,7.168441439177262e-11,4.466166685439076e-09,2.614512070004048e-09,2.9381947154760636e-08,9.881578011509075e-09
W03,4.641588833612782e-08,14130.0,5.465176648238193e-09,7.163073451400131e-11,4.463192617224595e-09,2.6110843614433326e-09,2.934312627531226e-08,9.92685434761042e-09
W03,4.641588833612782e-08,14220.0,5.4682086924561865e-09,7.157712224933372e-11,4.460214185271267e-09,2.6076613807119564e-09,2.9304364320861996e-08,9.972071327010057e-09
W03,4.641588833612782e-08,14310.0,5.471244887834391e-09,7.152357597545928e-11,4.457231536166938e-09,2.6042431226258455e-09,2.926566106972294e-08,1.0017229031613428e-08
W03,4.641588833612782e-08,14400.0,5.474285089425623e-09,7.147009406309437e-11,4.4542448164880696e-09,2.6008295819821586e-09,2.922701630037194e-08,1.0062327543199345e-08
W03,4.641588833612782e-08,14490.0,5.477329157855293e-09,7.141667495319628e-11,4.451254167168299e-09,2.597420753520995e-09,2.9188429796995013e-08,1.0107366943467107e-08
W03,4.641588833612782e-08,14580.0,5.480376957662985e-09,7.136331713414294e-11,4.44825972517966e-09,2.594016631939013e-09,2.914990134782907e-08,1.0152347314022723e-08
W03,4.641588833612782e-08,14670.0,5.483428358439081e-09,7.131001915658807e-11,4.445261622381119e-09,2.590617211869823e-09,2.9111430746307776e-08,1.0197268736389305e-08
W03,4.641588833612782e-08,14760.0,5.48648323497678e-09,7.125677963548085e-11,4.442259985364527e-09,2.5872224878813326e-09,2.9073017791214552e-08,1.0242131292008718e-08
W03,4.641588833612782e-08,14850.0,5.48954146212431e-09,7.120359718299766e-11,4.43925494066948e-09,2.583832454564381e-09,2.903466228149156e-08,1.028693506219619e-08
W03,4.641588833612782e-08,14940.0,5.4926029196843764e-09,7.115047047244931e-11,4.4362466098199615e-09,2.580447106448317e-09,2.899636402117978e-08,1.0331680128184102e-08
W03,4.641588833612782e-08,15030.0,5.495667490755404e-09,7.109739821669559e-11,4.433235111004688e-09,2.577066438029537e-09,2.8958122817746124e-08,1.0376366571107565e-08
W03,4.641588833612782e-08,15120.0,5.498735061578417e-09,7.10443791661874e-11,4.430220559232183e-09,2.5736904437740917e-09,2.8919938481928786e-08,1.0420994472003362e-08
W03,4.641588833612782e-08,15210.0,5.501805526872732e-09,7.099141218118203e-11,4.427203060922874e-09,2.5703191179846047e-09,2.8881810833157104e-08,1.0465563911858846e-08
