time_min,salt_m,dar_0_signal,dar_1_signal,dar_2_signal,dar_3_signal,dar_4_signal,dar_5_signal,dar_6_signal,dar_7_signal,dar_8_signal,total_signal
10.89,1.0332857142857144,3.124739981037732e-07,9.997323138325625e-06,0.00016081897453208883,0.0031526934005846495,0.02875280971260257,0.0006296447740899261,6.776540950568098e-05,5.0294430844071955e-06,1.5871216752214144e-07,0.03277923022370328
10.895,1.0330714285714286,3.1212122125003063e-07,9.98271945134792e-06,0.00016045163720030339,0.0031327681641725585,0.029265675680957014,0.0006313292927497344,6.786579899903972e-05,5.034568995768432e-06,1.5883489736923503e-07,0.033273578818644386
10.9,1.032857142857143,3.1176904237904683e-07,9.968147821154206e-06,0.00016008556502523303,0.003113045104707437,0.029789367523718416,0.0006330206407882473,6.796641232393569e-05,5.0397027571360385e-06,1.5895776972997497e-07,0.03377896382395367
10.905,1.0326428571428572,3.1141746013803637e-07,9.953608153748385e-06,0.00015972075216613064,0.0030935212405741133,0.030324078543782947,0.0006347188555120956,6.806725014804596e-05,5.044844384567117e-06,1.5908078482525198e-07,0.03429557559296661
10.91,1.0324285714285715,3.11066473178042e-07,9.939100355479492e-06,0.00015935719281613713,0.00307419365041556,0.030870003277602025,0.000636423974485424,6.8168313141546e-05,5.04999389415989e-06,1.592039428763852e-07,0.03482360577312639
10.915000000000001,1.0322142857142858,3.107160801539227e-07,9.924624333040201e-06,0.00015899488120204572,0.0030550594715774994,0.03142733740643526,0.0006381360355320439,6.826960197712022e-05,5.055151302053838e-06,1.5932724410512335e-07,0.035363247215683326
10.92,1.032,3.103662797243407e-07,9.910179993465308e-06,0.00015863381158406543,0.0030361158985994854,0.031996277663447495,0.0006398550767376141,6.837111732997385e-05,5.060316624429825e-06,1.5945068873364538e-07,0.03591469388128499
10.925,1.0317857142857143,3.100170705517485e-07,9.895767244130187e-06,0.00015827397825558817,0.00301736018175127,0.03257702173659765,0.0006415811364518423,6.847285987784432e-05,5.065489877510216e-06,1.5957427698456184e-07,0.036478140741403375
10.93,1.0315714285714286,3.096684513023756e-07,9.881385992749342e-06,0.00015791537554295774,0.002998789625613014,0.033169768167270026,0.0006433142532907013,6.857483030101221e-05,5.070671077559027e-06,1.5969800908091575e-07,0.0370537836755484
10.935,1.0313571428571429,3.093204206462161e-07,9.867036147374867e-06,0.0001575579978052389,0.0029804015876977786,0.033774716244610536,0.0006450544661386783,6.86770292823133e-05,5.075860240882029e-06,1.5982188524618353e-07,0.03764181936422869
