permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,28.5,4408638.914867422,132229.6497435239,650733.7441637105,217036.60609233956,87244.61923358441,217036.60609233956,658486.8756425163,534851.935956203,1824910.9333778215,273736.6400066732
High permeability,28.6,4405466.145639812,132312.4145536065,650653.0465334752,217034.5389124923,87321.20910046247,217034.5389124923,661665.8198133302,535259.2611586342,1835612.0540093929,275341.8081014089
High permeability,28.700000000000003,4402293.484365112,132395.25352967868,650572.6436972155,217032.10277267985,87396.75670382835,217032.10277267985,664845.7724607363,535661.3119208688,1846321.2682587563,276948.1902388134
High permeability,28.8,4399120.936961136,132478.16714190756,650492.5282940391,217029.30456362732,87471.27138784865,217029.30456362732,668026.7187929217,536058.1492207001,1857038.4716607106,278555.77074910654
High permeability,28.900000000000002,4395948.509298156,132561.15585771832,650412.6930265579,217026.15111529775,87544.76246636303,217026.15111529775,671208.6440931979,536449.833718677,1867763.5602871769,280164.5340430765
High permeability,29.0,4392776.207171956,132644.22014029179,650333.1306968518,217022.6491624304,87617.23921138045,217022.6491624304,674391.5337569539,536836.425596742,1878496.4310160251,281774.4646524037
High permeability,29.1,4389604.036146614,132727.36043945208,650253.8344165639,217018.80514355793,87688.71074382676,217018.80514355793,677575.3735490103,537217.9834722107,1889236.9833704294,283385.54750556435
High permeability,29.200000000000003,4386432.001750371,132810.5772029525,650174.7973452192,217014.62545140224,87759.1861607354,217014.62545140224,680760.1492918443,537594.5657187556,1899985.11728594,284997.767592891
High permeability,29.3,4383260.109441189,132893.87087450727,650096.0127362591,217010.1163888075,87828.674512503,217010.1163888075,683945.8469208137,537966.2302292051,1910740.7335087925,286611.1100263189
High permeability,29.400000000000002,4380088.364577502,132977.24189215124,650017.4739761099,217005.28413131277,87897.18478598213,217005.28413131277,687132.4525286652,538333.0342201585,1921503.7339205954,288225.56008808926
High permeability,29.5,4376916.772330676,133060.690683136,649939.1747012566,217000.13461518136,87964.72583630164,217000.13461518136,690319.9525161565,538695.033596799,1932274.0226144784,289841.10339217173
High permeability,29.6,4373745.337850578,133144.21767347495,649861.1085769314,216994.6737491675,88031.30650260724,216994.6737491675,693508.333320288,539052.2841093782,1943051.5039443346,291457.7255916501
