ligand,site,total_l_M,free_l_M,free_u_M,target_U1_occupancy,inclusion_proxy_percent,offtarget_inclusion_proxy_percent,target_ligand_occupancy,ligand_mass_error_M,u1_mass_error_M
Risdiplam-like model,WT scenario,1e-05,9.996940697450212e-06,9.757117581335172e-08,0.7986598608462594,79.86598608462594,2.7716815499331324,0.8470265580641723,1.8634724839594607e-20,2.4180143666150105e-20
Risdiplam-like model,WT scenario,1.165914401179831e-05,1.1655832563301012e-05,9.751987325392894e-08,0.815320523184251,81.5320523184251,2.831618998949382,0.8658238852367748,1.5246593050577406e-20,-1.7734752333136913e-20
Risdiplam-like model,WT scenario,1.359356390878524e-05,1.3589972727931643e-05,9.746940676848257e-08,0.830214995039209,83.02149950392091,2.900544138099631,0.8826320120707908,1.1858461261560205e-20,-9.118839072784577e-21
Risdiplam-like model,WT scenario,1.584893192461114e-05,1.5845029228609904e-05,9.741921244663949e-08,0.8434608689290888,84.34608689290887,2.979552718341076,0.8975836905953375,1.0164395367051604e-20,0.0
Risdiplam-like model,WT scenario,1.8478497974222908e-05,1.847424750411413e-05,9.736868618629366e-08,0.8551854849764136,85.51854849764136,3.0698094791783497,0.9108226921836755,6.776263578034403e-21,0.0
Risdiplam-like model,WT scenario,2.1544346900318823e-05,2.1539707715614287e-05,9.731720051905783e-08,0.8655202073105417,86.55202073105417,3.172530221070273,0.9224973492491895,6.776263578034403e-21,0.0
Risdiplam-like model,WT scenario,2.5118864315095822e-05,2.5113790690520804e-05,9.726412165567899e-08,0.8745958955675424,87.45958955675424,3.2889551772864305,0.93275544225271,6.776263578034403e-21,0.0
Risdiplam-like model,WT scenario,2.9286445646252374e-05,2.928088710371445e-05,9.720882732294946e-08,0.8825395006549888,88.25395006549887,3.420312252468529,0.9417403520642363,3.3881317890172014e-21,0.0
Risdiplam-like model,WT scenario,3.414548873833601e-05,3.413939025164582e-05,9.715072596818014e-08,0.8894716558283694,88.94716558283694,3.567769067210343,0.9495883321885015,0.0,-1.3234889800848443e-23
Risdiplam-like model,WT scenario,3.9810717055349695e-05,3.9804019467340094e-05,9.708927775086897e-08,0.8955051068118588,89.55051068118588,3.732373451691031,0.9564267246462729,6.776263578034403e-21,0.0
