total_BiTE_nM,KD_CD3_nM,KD_TAA_nM,free_CD3_nM,free_TAA_nM,free_BiTE_nM,CD3_BiTE_nM,TAA_BiTE_nM,trimer_nM,trimer_complexes_per_target,max_mass_balance_error_nM
0.005623413251903491,10.0,1.0,8.300144801719018,16.600086769027943,0.00017459454274360662,0.00014491599863618554,0.002898284558942628,0.002405618151581015,1.4486971123631889,1.7763568394002505e-15
0.006812920690579608,10.0,1.0,8.299605402937441,16.59896487158255,0.00021154583726682696,0.00017557469739486818,0.0035114419215215792,0.0029143582343961532,1.7550675512598708,1.7763568394002505e-15
0.008254041852680182,10.0,1.0,8.298951957726556,16.597605673345782,0.0002563225812494802,0.00021272087874698982,0.004254341128753008,0.0035306572639301386,2.126211501870377,5.637851296924623e-16
0.01,10.0,1.0,8.298160366123593,16.595958984042962,0.00031058439379832726,0.00025772791069538013,0.005154445860560887,0.004277241834943617,2.575815239459115,3.552713678800501e-15
0.012115276586285877,10.0,1.0,8.297201441588307,16.59396399929999,0.0003763439726042359,0.00031226017520249365,0.006245038332748232,0.005181634105725286,3.12045299514944,5.629177679544739e-15
0.01467799267622069,10.0,1.0,8.296039840304054,16.591547056654463,0.00045604272808910564,0.00037833486411081694,0.007566454382935473,0.0062771607010675915,3.780194531496932,1.7702853072343316e-14
0.01778279410038923,10.0,1.0,8.294632766453017,16.588618917457904,0.0005526428612578121,0.0004583969585135397,0.009167581822859407,0.007604172457702871,4.579339690360182,5.560135685200862e-14
0.021544346900318822,10.0,1.0,8.292928407226317,16.585071474644007,0.0006697395728081384,0.0005554102328784229,0.01110767868442052,0.009211518410037317,5.547306047857612,1.7442644550946795e-13
0.026101572156825358,10.0,1.0,8.290864042085929,16.58077376530309,0.0008116979698093618,0.0006729677510926588,0.013458580403164845,0.011158326032212177,6.719701001195403,5.463164642893759e-13
0.03162277660168379,10.0,1.0,8.288363759845653,16.575567141576283,0.0009838203478055294,0.0008154260916950096,0.016307380230299484,0.01351614993188377,8.139615742306848,1.7763568394002505e-15
0.03831186849557285,10.0,1.0,8.28533570424546,16.56925942267447,0.0011925509418319192,0.000988068489749155,0.01975968592996784,0.016371563134023923,9.859185765431882,3.552713678800501e-15
0.046415888336127774,10.0,1.0,8.281668753597955,16.561617813721554,0.0014457270585293682,0.001197303260685375,0.023943579006319247,0.01982927901059381,11.941470937110944,1.7763568394002505e-15
0.05623413251903491,10.0,1.0,8.277228522612777,16.552360332410437,0.001752887855530608,0.0014509053354739493,0.029014431407048832,0.024015907920981655,14.46271779793505,3.552713678800501e-15
0.06812920690579609,10.0,1.0,8.271852554465566,16.54114543051642,0.0021256551147031556,0.0017583105690470093,0.03516077038742595,0.02908447083462066,17.515077729620028,6.800116025829084e-16
0.08254041852680181,10.0,1.0,8.26534454861771,16.527559432424262,0.0025782044242672946,0.0021309747883339744,0.04261142685101689,0.03521981246318748,21.20986681941173,3.816391647148976e-15
0.1,10.0,1.0,8.257467445035543,16.51110133482513,0.0031278506199608528,0.002582812466726098,0.051644258546369254,0.042645078366964274,25.68146646470898,2.0483614804334138e-14
